Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
43,UC-Irvine,26,18,8,0.692,2.51,-2.66,13,4,10,1,6,6,1887,1633,1050,705,1561,0.452,129,378,0.341,348,460,0.757,296,1039,314,201,104,340,433
44,UC-Riverside,22,14,8,0.636,2.67,-3.88,10,5,5,4,7,3,1544,1400,890,572,1280,0.447,201,542,0.371,199,282,0.706,189,798,308,116,51,263,384
45,UC-SanDiego,17,7,10,0.412,-8.38,-0.45,4,10,7,3,0,7,1214,1226,685,447,973,0.459,188,500,0.376,132,207,0.638,99,501,294,116,37,225,232
46,UC-SantaBarbara,25,21,4,0.84,5.64,-4.45,15,3,11,0,8,4,1910,1570,1010,688,1419,0.485,168,480,0.35,366,486,0.753,232,881,411,189,72,278,400
47,UniversityofCalifornia,29,9,20,0.31,2.58,7.44,3,17,6,8,1,11,1897,2008,1160,661,1536,0.43,204,622,0.328,371,532,0.697,235,917,346,126,65,370,516
48,Campbell,27,17,10,0.63,-6.23,-6.75,11,6,9,3,6,7,1917,1840,1095,699,1409,0.496,195,520,0.375,324,478,0.678,165,767,387,165,61,327,459
49,Canisius,13,7,6,0.538,-7.87,-7.11,7,5,3,1,4,4,915,925,520,321,786,0.408,97,327,0.297,176,248,0.71,130,450,165,73,46,156,234
50,CentralArkansas,24,5,19,0.208,-14.98,-2.11,4,12,4,5,1,14,1701,1933,960,606,1388,0.437,170,468,0.363,319,445,0.717,246,889,322,121,64,419,433
51,CentralConnecticutState,21,5,16,0.238,-13.06,-4.2,5,13,3,6,2,9,1439,1625,840,522,1230,0.424,150,463,0.324,245,349,0.702,179,664,270,145,54,298,359
52,CentralFlorida,23,11,12,0.478,6.13,8.34,8,10,6,3,4,8,1546,1597,925,542,1262,0.429,180,507,0.355,282,387,0.729,216,765,285,157,79,340,389
53,CentralMichigan,23,7,16,0.304,-11.45,-3.3,3,13,5,7,2,9,1766,1835,920,631,1417,0.445,152,462,0.329,352,523,0.673,241,833,246,188,67,307,396
54,CharlestonSouthern,21,3,18,0.143,-16.12,-5.62,2,15,1,9,2,8,1375,1550,845,480,1182,0.406,160,506,0.316,255,357,0.714,214,778,217,129,80,346,385
55,Charlotte,25,9,16,0.36,-5.34,-2.09,5,11,6,7,3,8,1587,1668,1025,545,1261,0.432,143,441,0.324,354,484,0.731,172,778,282,136,73,335,364
56,Chattanooga,26,18,8,0.692,-1.09,-2.46,9,7,9,3,9,4,1888,1801,1050,667,1522,0.438,218,607,0.359,336,429,0.783,217,881,319,178,48,289,370
57,ChicagoState,9,0,9,0,-31.32,1.9,0,0,0,0,0,7,499,798,360,180,497,0.362,51,203,0.251,88,126,0.698,54,234,89,49,13,140,178
58,Cincinnati,21,11,10,0.524,4.89,6.7,8,6,5,5,5,5,1471,1509,840,526,1219,0.432,150,474,0.316,269,409,0.658,216,757,319,144,76,309,411
59,Citadel,25,13,12,0.52,-5.57,-0.95,5,11,11,3,1,8,2019,1959,1000,708,1566,0.452,256,720,0.356,347,495,0.701,237,944,389,136,108,302,405
60,Clemson,23,16,7,0.696,13.57,10.26,10,6,11,1,2,5,1502,1426,925,541,1264,0.428,192,555,0.346,228,298,0.765,198,751,305,140,66,292,361
61,ClevelandState,26,19,7,0.731,-4.05,-4.94,16,4,9,2,8,5,1858,1835,1065,684,1514,0.452,166,520,0.319,324,484,0.669,279,910,363,182,65,334,499
62,CoastalCarolina,23,16,7,0.696,-2.12,-8.12,9,5,12,1,3,5,1836,1535,925,652,1419,0.459,202,559,0.361,330,452,0.73,316,1005,356,195,96,344,380
63,Colgate,14,13,1,0.929,19.71,1.64,11,1,7,1,6,0,1210,957,565,441,887,0.497,122,315,0.387,206,280,0.736,138,567,244,99,51,143,220
64,CollegeofCharleston,19,9,10,0.474,-4.07,-2.24,6,4,8,6,1,3,1341,1329,780,481,1066,0.451,158,422,0.374,221,311,0.711,156,623,201,100,53,197,324
65,ColoradoState,24,18,6,0.75,8.67,-0.38,14,4,10,1,6,4,1791,1571,960,615,1294,0.475,205,569,0.36,356,451,0.789,182,843,348,132,61,327,413
66,Colorado,29,22,7,0.759,17.19,7.02,14,6,11,1,6,6,2123,1828,1160,749,1650,0.454,218,592,0.368,407,490,0.831,284,1018,387,157,82,324,472
67,Columbia,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
68,Connecticut,22,15,7,0.682,17.21,9.3,11,6,7,3,6,3,1596,1422,885,581,1323,0.439,148,440,0.336,286,391,0.731,290,839,287,136,116,258,415
69,CoppinState,22,9,13,0.409,-11.31,-4.99,8,4,5,3,4,9,1602,1741,880,529,1287,0.411,193,636,0.303,351,564,0.622,164,796,286,188,71,348,394
70,Cornell,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
71,Creighton,27,20,7,0.741,18.73,8.8,14,6,11,3,7,4,2107,1839,1090,780,1616,0.483,263,708,0.371,284,438,0.648,227,978,433,192,98,300,417
72,Dartmouth,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,0.619,10.62,4.02,7,4,7,4,4,2,1518,1336,845,550,1162,0.473,209,570,0.367,209,305,0.685,190,734,318,108,54,226,312
74,Dayton,23,14,9,0.609,7.45,4.92,9,7,8,3,4,6,1614,1556,945,567,1189,0.477,185,495,0.374,295,410,0.72,159,766,316,103,45,335,356
